,city,Population,Princeton,Harvard,Yale ,Stanford,Columbia,UChicago,MIT,Duke,Penn,Caltech,Johns Hopkins,Northwestern,Dartmouth,Brown,Cornell,WashU St. Louis,Vanderbilt,Notre Dame ,Rice,Berkeley,Emory,Georgetown,UCLA,CMU,USC,UVA,Tufts,Wake Forest,Michigan,Boston College,UNC,NYU,Rochester,Brandeis,William and Mary,Georgia Tech,Case Western,UCSB,UCI,UCSD,Wisconsin,Illinois,RPI,Tulane,Boston University,UC Davis,Northeastern,Penn State,Florida-Gainesville,Lehigh,Miami(FL),Ohio State,Yeshiva,Texas,Pepperdine,UW-Seattle,GWU,UConn,Maryland,WPI,Syracuse,UGA,Purdue,Clemson,SMU,BYU,Fordham,Pitt ,Minnesota,Texas A&M,Virginia Tech,Rutgers,American University,Baylor,Delaware,Clark University,Colorado Mines,Indiana,Michigan State,Stevens Tech,UMass
12,"Baltimore, Maryland",2785874.00,447,,578,,,417,,876,1230,,17392,,292,460,1385,488,445,637,149,,415,1362,,719,,1885,335,424,,465,1214,,465,165,708,,308,,,,,,490,427,1019,,,6392,,604,392,,142,,,,2763,471,26040,146,1167,,,680,,,258,1622,,,3624,1101,1527,,3570,,,,,288,661
13,Dallas/Fort Worth,7206144.00,395,986,461,1029,,456,697,981,609,110,527,1007,330,285,1217,875,1522,1235,1481,,562,616,1299,514,1649,983,,458,1672,465,961,991,282,,265,1569,289,525,494,514,1146,1986,362,1060,1024,461,661,2126,2218,254,574,2007,,30296,615,822,1018,469,1259,150,690,1120,2778,708,26536,2959,195,685,1153,40800,1052,764,458,14236,348,,357,1876,2153,276,
14,San Diego,3263431.00,390,937,550,1985,630,410,892,580,700,543,620,820,291,361,1280,455,424,774,245,4988,291,588,7114,497,5710,839,324,,1797,507,,,351,150,220,705,290,6488,4388,47248,1450,1580,470,338,1260,3452,899,1854,,228,414,1318,,1444,1066,1981,870,549,1325,183,694,,1623,,385,1620,219,,1222,989,984,887,382,265,500,88,120,,1279,160,794
15,"Raleigh-Durham, North Carolina",2037430.00,378,,467,,,,,13168,600,,696,,264,294,,430,674,,203,,605,499,,486,,1800,287,2168,1467,,39520,,376,130,693,1205,361,,,,961,,560,356,896,,694,2569,2079,300,462,1466,,852,,,940,550,1335,168,884,1322,,1755,,660,188,993,,,3154,944,461,,616,90,,,1320,155,646
16,"Austin, Texas",1943299.00,329,,,965,,424,643,652,,102,,669,,308,,471,811,,1553,,285,433,933,603,920,812,,244,1347,,,866,,115,219,949,,563,,,1098,1398,377,645,,444,475,,1364,,333,,,85760,265,797,652,,756,111,,,1496,,1838,1026,,,846,17156,,,,3810,,,176,,1183,,
17,Miami/Fort Lauderdale,6447610.00,317,1076,423,,832,,,764,941,,463,631,252,370,1462,412,482,,,,723,807,,,,629,380,252,1245,752,,2237,,285,,984,,,,,,,,841,1634,,1021,,19504,187,25280,,261,870,,,1125,541,1175,,896,,,,299,,465,634,,,,1022,768,,429,152,,,,129,666
18,"Portland, Oregon",3022178.00,303,,427,1481,,403,,465,,177,365,733,280,344,,444,,,207,2249,,,1623,484,1593,,281,,1563,,,,276,,,,,1334,639,960,1622,1331,330,300,827,1504,,,,,,,,1386,433,6096,,,645,,,,,,,2635,,,1163,,,,,,,145,168,,,,603
19,Minneapolis-St. Paul,3797883.00,299,,447,,,689,,,,,365,1748,380,370,,780,,1473,155,,,,,,,,222,,1959,502,,,,,,,291,,,,13676,2021,,,788,,,,,,,,,,162,716,563,,,,,,1858,,,,,,116096,,,,389,,,,,1572,1893,,
20,Detroit,5314163.00,296,,387,,,548,,,,,,1194,,,,430,,1158,,,,,,740,,,,,66176,,,,236,,,,488,,,,1259,1379,726,,,,,,,,,2282,51,,,,,,,,,,3342,,,,,598,,,,,,,,,,1534,55968,,
21,"Hartford, Connecticut",1489361.00,,,631,,,,,,,,,,255,333,,,,,,,,,,,,,346,,,865,,,,183,,,,,,,,,1574,,1229,,1286,,,242,,,,,,,,27968,,976,899,,,,,,478,,,,,,,,,314,,,,,2048
22,"Orange County, California",3145515.00,,,,1370,,,,,,440,,,,,,,,,155,4752,,,13132,,12840,,,,,,,,,,,,,6246,33376,5662,,,,,,2158,,,,,,,,852,3159,1263,,,,,,,,,417,2329,,,686,,,544,,247,,,,,,118,
23,"Charlotte, North Carolina",2493040.00,,,,,,,,1677,,,,,,,,,557,,,,366,,,,,1253,,2626,,,11600,,,,314,1064,,,,,,,,,,,586,2015,1709,211,384,1448,,,,,,523,891,,,1518,,5212,,,193,766,,,2665,632,,,440,,,,,118,
24,"Greensboro/Winston-Salem, North Carolina",1619313.00,,,,,,,,1051,,,,,,,,,,,,,,,,,,,,4952,,,7242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,,,,,,,1291,,,,,,,,,,
25,Pittsburgh,2659937.00,,,,,,,,,814,,433,,,,,,,808,,,,,,14856,,632,,,,,,,284,,245,,632,,,,,,,,,,,23144,,470,,1623,,,,,,,698,,,,,,,,,47792,,,1058,,,,373,,,,,,
26,"Fresno, California",1096961.00,,,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Sacramento, California",2482660.00,,,,,,,,,,153,,,,,,,,,,5002,,,2429,,1829,,,,,,,,,,,,,2840,1072,1589,,,,,,31160,,,,,,,,,398,,,,,,,,,,,1401,,,,,,,,,,,,,,,
28,"Phoenix, Arizona",4489109.00,,,,,,,,,,118,,681,,,,,,620,,,,,1504,,1606,,,,1509,,,,,,,,258,715,567,747,1290,1713,,,,527,,,,,,1773,,1095,483,1451,632,408,823,112,,,1966,,345,5432,,667,1423,875,,609,,305,312,,174,1428,1997,,
29,Milwaukee,2040498.00,,,,,,,,,,,,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18056,1292,,,,,,,,,,,,,,,,,,,,,,,,,,,2238,,,,,,,,,,,,
30,St. Louis,2905893.00,,,,,,,,,,,,788,,,,17064,595,785,146,,,,,,,,,,,,,,,,,,,,,,,5146,,389,,,,,,,,,,,,,,,,,,,1766,,303,,,,,,,,,,,,,1759,,,
31,"Cleveland/Akron, Ohio",3501538.00,,,,,,,,,,,,745,,,,380,,880,,,,,,473,,,,,1586,,,,268,,,,12516,,,,,,,,,,,,,,,16724,77,,,,,,,,,,,,,,,1178,,,,,,,,,,,1241,,
32,"Burlington, Vermont",216167.00,,,,,,,,,,,,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Portland, Maine",627504.00,,,,,,,,,,,,,282,,,,,,,,,,,,,,295,,,426,,,,,,,,,,,,,,,,,698,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,213,,,,,638
34,"Providence, Rhode Island",1609367.00,,,,,,,,,,,,,,6644,,,,,,,,,,,,,436,,,1199,,,,264,,,,,,,,,399,,1841,,2334,,,,,,,,,,,1273,,830,,,,,,,,,,,,,,,,360,,,,,1927
35,"Ithaca, New York",104691.00,,,,,,,,,,,,,,,11772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,,,,,,,,,,,,,,,,,,,,
36,"Rochester, New York",1168141.00,,,,,,,,,,,,,,,1615,,,,,,,,,,,,,,,,,,8596,,,,,,,,,,488,,,,,,,,,,,,,,,,,,2060,,,,,,,,,,,,,,,,,,,,
37,"Kansas City, Missouri",2393623.00,,,,,,,,,,,,,,,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,,,,,,,,,316,,,,,,,
38,Nashville,1876933.00,,,,,,,,,,,,,,,,,11968,,,,427,,,,,,,359,,,764,,,,,677,,,,,,,,324,,,,,,,,,,,164,,,,,,,1390,,538,306,,,,,,,,,442,,,,,,,
39,Memphis,1369006.00,,,,,,,,,,,,,,,,,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Birmingham, Alabama",1313105.00,,,,,,,,,,,,,,,,,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Cincinnati,2196629.00,,,,,,,,,,,,,,,,,497,866,,,,,,,,,,,,,,,,,,,480,,,,,,,,,,,,,,,9716,,,,,,,,,,,3594,,,,,,,,,,,,,,,3358,,,
42,"Louisville, Kentucky",1490724.00,,,,,,,,,,,,,,,,,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453,,,,,,,,,,,,,,,3275,,,
43,"South Bend, Indiana",721543.00,,,,,,,,,,,,,,,,,,4886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,,
44,"Indianapolis, Indiana",2336237.00,,,,,,,,,,,,,,,,,,1156,,,,,,,,,,,,,,,,,,,,,,,,1501,,,,,,,,,,1377,,,,,,,,,,,28584,,,,,,,,,,,,,,,32024,1256,,
45,"Columbus, Ohio",2370839.00,,,,,,,,,,,,,,,,,,711,,,,,,,,,,,,,,,,,,,914,,,,,,,,,,,,,,,89632,,,,,,,,,,,1478,,,,,788,,,,,,,,,,1345,,,
46,"San Antonio, Texas",2328652.00,,,,,,,,,,,,,,,,,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8960,,,,,,,,,,,747,,,,,10944,,,,2100,,,,,,,
47,"Tampa/St. Petersburg, Florida",2915582.00,,,,,,,,,,,,,,,,,,,,,440,,,,,,,239,,,,,,,,,,,,,,,,316,,,,,15636,,1071,,,,,,,435,885,,,751,,,,,214,,,,,622,,,351,,,,,113,
48,"Orlando, Florida",2975658.00,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,,,,,,,,743,,,,,,,,,,,,,13740,,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,
49,"West Palm Beach, Florida",,,,,,,,,,,,,,,,,,,,,,277,,,,,,,,,,,,,121,,,,,,,,,,,,,,,7336,,2030,,122,,,,,,,,,,,,,,198,,,,,,,,,,,,,,
50,"Jacksonville, Florida",1518677.00,,,,,,,,,,,,,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,10476,,401,,,,,,,,,,,1507,,,,,,,,,,,,,,,,,,,
51,"Las Vegas, Nevada",2273195.00,,,,,,,,,,,,,,,,,,,,,,,,,1042,,,,,,,,,,,,,458,416,,,,,,,,,,,,,,,,258,,,,,,,,,,,3171,,,,,,,,,,,,,,,
52,"Charlottesville, Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,13384,,,,,,,,,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2321,,,,,,,,,,
53,"Richmond, Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,6704,,398,,,981,,,,3163,,,,,,,,,,,,,,,,,,,,,,803,,,,,,,,,,,,,,9484,,,,,,,,,,
54,"Norfolk, Virginia",1810266.00,,,,,,,,,,,,,,,,,,,,,,,,,,3359,,,,,955,,,,5336,,,,,,,,,,,,,,,,,,,,,,1360,,,,,,,,,,,,,,6582,,,,,,,,,,
55,"Roanoke, Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,1041,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17688,,,,,,,,,,
56,"Springfield, Massachusetts",698136.00,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,755,,363,,,,,,,,,,,,,,,,220,,,,,15088
57,"Greenville, South Carolina",1395624.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,,,,,,,952,,,,,,,,,,,,,,,,,,,,,,,,,,1362,,23000,,,,,,,,,,,,,,,,,
58,"Charleston, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006,,5250,,,,,,,,,,,,,,,,,
59,"Asheville, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,1589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,,,,,,,,,,,,,,,,,
60,"Grand Rapids, Michigan",1407323.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11796,,
61,"Lansing, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32872,,
62,"Barnstable/Yarmouth, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310
63,"Wilmington, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Hickory/Lenoir, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Greenville, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Buffalo/Niagara, New York",1213007.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,,,,,,,,,,,,,,,,,,,,
67,"Syracuse, New York",741411.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491,,,,,,,,,,325,,,,,,,,,,,,,,,,,,14624,,,,,,,,,,,,,,,,,,,,
68,"Albany, New York",1173061.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,,,,,,,,,,6660,,,,,,,,,,,,,,,351,,195,1442,,,,,,265,,,,,,,,,,,,,,641
69,"Savannah, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914,,,,,,,,,,,,,,,,,,,,,,,,,,2312,,547,,,,,,,,,,,,,,,,,
70,"Santa Barbara, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17280,,,,,,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"San Luis Obispo, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Hawaiian Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,,,,,,,,,,,,,,,,,172,1031,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Madison, Wisconsin",851332.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46672,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532,,,,,,,,,,,,
74,"Oshkosh, Wisconsin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Green Bay, Wisconsin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Wausau, Wisconsin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Urbana-Champaign, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Peoria, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"New London/Norwich, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,3400,,277,,,,,,,,,,,,,,,,,,,,,
80,New Orleans,1467880.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Baton Rouge, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Biloxi, Mississippi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Stockton, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Salinas, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Modesto, California",788719.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"State College, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Harrisburg, Pennsylvania",1233708.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11616,,303,,,,,,,,,,,,,,,,,,1446,,,,,,,321,,,,,,
88,"Allentown, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6866,,5238,,,,,,,,,,,,,,,,,,811,,,,747,,,444,,,,,169,
89,"Scranton, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6470,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Lancaster, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320,,,,,,,,,,,,,,,,,,,,,,,,,,,414,,,,,,
91,"York, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Reading, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4076,,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Gainesville, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Melbourne, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Sarasota, Florida",931788.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Tallahassee, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Dayton, Ohio",1079679.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Toledo, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Spokane, Washington",679989.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Bellingham, Washington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Utica, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,,,,,,,,,,,,,,,,,,,,
102,"Athens, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18264,,,,,,,,,,,,,,,,,,,
