,Down,ToGo,Success,Attempt,Team,DriveResult,DriveStart,DownGo,FieldPosition,GameKey,Opponent,DriveNum
1,1.0,10.0,0.0,1.0,BAL,Punt,-30.0,"1,10",80.0,55837.0,DEN,1.0
2,2.0,11.0,0.0,1.0,BAL,Punt,-30.0,"2,11",81.0,55837.0,DEN,1.0
3,3.0,8.0,0.0,1.0,BAL,Punt,-30.0,"3,8",78.0,55837.0,DEN,1.0
4,4.0,2.0,0.0,1.0,BAL,Punt,-30.0,"4,2",72.0,55837.0,DEN,1.0
0,1.0,10.0,1.0,1.0,DEN,Punt,-27.0,"1,10",77.0,55837.0,BAL,2.0
1,2.0,10.0,1.0,1.0,DEN,Punt,-27.0,"2,10",77.0,55837.0,BAL,2.0
2,3.0,9.0,1.0,1.0,DEN,Punt,-27.0,"3,9",76.0,55837.0,BAL,2.0
3,1.0,10.0,0.0,1.0,DEN,Punt,-27.0,"1,10",66.0,55837.0,BAL,2.0
4,2.0,10.0,0.0,1.0,DEN,Punt,-27.0,"2,10",66.0,55837.0,BAL,2.0
5,3.0,3.0,0.0,1.0,DEN,Punt,-27.0,"3,3",59.0,55837.0,BAL,2.0
6,4.0,3.0,0.0,1.0,DEN,Punt,-27.0,"4,3",59.0,55837.0,BAL,2.0
0,1.0,10.0,1.0,1.0,BAL,Touchdown,-30.0,"1,10",80.0,55837.0,DEN,3.0
1,1.0,10.0,1.0,1.0,BAL,Touchdown,-30.0,"1,10",66.0,55837.0,DEN,3.0
2,2.0,10.0,1.0,1.0,BAL,Touchdown,-30.0,"2,10",66.0,55837.0,DEN,3.0
3,3.0,6.0,1.0,1.0,BAL,Touchdown,-30.0,"3,6",62.0,55837.0,DEN,3.0
4,1.0,10.0,1.0,1.0,BAL,Touchdown,-30.0,"1,10",33.0,55837.0,DEN,3.0
5,2.0,3.0,1.0,1.0,BAL,Touchdown,-30.0,"2,3",26.0,55837.0,DEN,3.0
6,1.0,10.0,1.0,1.0,BAL,Touchdown,-30.0,"1,10",13.0,55837.0,DEN,3.0
7,2.0,10.0,1.0,1.0,BAL,Touchdown,-30.0,"2,10",13.0,55837.0,DEN,3.0
8,3.0,10.0,1.0,1.0,BAL,Touchdown,-30.0,"3,10",13.0,55837.0,DEN,3.0
9,1.0,2.0,1.0,1.0,BAL,Touchdown,-30.0,"1,2",2.0,55837.0,DEN,3.0
1,1.0,10.0,1.0,1.0,DEN,Punt,-30.0,"1,10",80.0,55837.0,BAL,4.0
2,2.0,8.0,1.0,1.0,DEN,Punt,-30.0,"2,8",78.0,55837.0,BAL,4.0
3,3.0,2.0,1.0,1.0,DEN,Punt,-30.0,"3,2",72.0,55837.0,BAL,4.0
4,1.0,10.0,1.0,1.0,DEN,Punt,-30.0,"1,10",60.0,55837.0,BAL,4.0
5,1.0,10.0,0.0,1.0,DEN,Punt,-30.0,"1,10",45.0,55837.0,BAL,4.0
6,2.0,9.0,0.0,1.0,DEN,Punt,-30.0,"2,9",44.0,55837.0,BAL,4.0
7,3.0,4.0,0.0,1.0,DEN,Punt,-30.0,"3,4",39.0,55837.0,BAL,4.0
8,4.0,4.0,0.0,1.0,DEN,Punt,-30.0,"4,4",39.0,55837.0,BAL,4.0
0,1.0,10.0,1.0,1.0,BAL,Punt,-40.0,"1,10",90.0,55837.0,DEN,5.0
1,2.0,10.0,1.0,1.0,BAL,Punt,-40.0,"2,10",90.0,55837.0,DEN,5.0
2,3.0,1.0,1.0,1.0,BAL,Punt,-40.0,"3,1",81.0,55837.0,DEN,5.0
3,1.0,10.0,1.0,1.0,BAL,Punt,-40.0,"1,10",74.0,55837.0,DEN,5.0
4,2.0,11.0,1.0,1.0,BAL,Punt,-40.0,"2,11",75.0,55837.0,DEN,5.0
5,1.0,10.0,0.0,1.0,BAL,Punt,-40.0,"1,10",62.0,55837.0,DEN,5.0
6,2.0,10.0,0.0,1.0,BAL,Punt,-40.0,"2,10",62.0,55837.0,DEN,5.0
7,3.0,12.0,0.0,1.0,BAL,Punt,-40.0,"3,12",64.0,55837.0,DEN,5.0
8,3.0,17.0,0.0,1.0,BAL,Punt,-40.0,"3,17",69.0,55837.0,DEN,5.0
9,4.0,17.0,0.0,1.0,BAL,Punt,-40.0,"4,17",69.0,55837.0,DEN,5.0
0,1.0,10.0,1.0,1.0,DEN,Punt,-21.0,"1,10",71.0,55837.0,BAL,6.0
1,2.0,7.0,1.0,1.0,DEN,Punt,-21.0,"2,7",68.0,55837.0,BAL,6.0
2,3.0,8.0,1.0,1.0,DEN,Punt,-21.0,"3,8",69.0,55837.0,BAL,6.0
3,1.0,10.0,0.0,1.0,DEN,Punt,-21.0,"1,10",64.0,55837.0,BAL,6.0
4,2.0,10.0,0.0,1.0,DEN,Punt,-21.0,"2,10",64.0,55837.0,BAL,6.0
