,Down,ToGo,Success,Attempt,Team,DriveResult,DriveStart,DownGo,FieldPosition
8,3.0,18.0,0.0,1.0,PIT,Interception,-23.0,"3,18",50.0
9,3.0,23.0,0.0,1.0,PIT,Interception,-23.0,"3,23",55.0
1,1.0,10.0,1.0,1.0,TEN,Fumble,-29.0,"1,10",79.0
2,2.0,3.0,1.0,1.0,TEN,Fumble,-29.0,"2,3",72.0
3,1.0,10.0,1.0,1.0,TEN,Fumble,-29.0,"1,10",55.0
4,2.0,5.0,1.0,1.0,TEN,Fumble,-29.0,"2,5",50.0
5,1.0,10.0,0.0,1.0,TEN,Fumble,-29.0,"1,10",42.0
6,2.0,10.0,0.0,1.0,TEN,Fumble,-29.0,"2,10",42.0
0,1.0,10.0,0.0,1.0,PIT,Punt,-4.0,"1,10",54.0
1,2.0,2.0,0.0,1.0,PIT,Punt,-4.0,"2,2",46.0
2,3.0,1.0,0.0,1.0,PIT,Punt,-4.0,"3,1",45.0
3,4.0,1.0,0.0,1.0,PIT,Punt,-4.0,"4,1",45.0
0,1.0,10.0,0.0,1.0,TEN,Punt,-45.0,"1,10",95.0
1,2.0,9.0,0.0,1.0,TEN,Punt,-45.0,"2,9",94.0
2,3.0,9.0,0.0,1.0,TEN,Punt,-45.0,"3,9",94.0
3,4.0,11.0,0.0,1.0,TEN,Punt,-45.0,"4,11",96.0
0,1.0,10.0,1.0,1.0,PIT,Punt,-4.0,"1,10",54.0
1,2.0,10.0,1.0,1.0,PIT,Punt,-4.0,"2,10",54.0
2,3.0,6.0,1.0,1.0,PIT,Punt,-4.0,"3,6",50.0
3,1.0,10.0,0.0,1.0,PIT,Punt,-4.0,"1,10",43.0
4,2.0,7.0,0.0,1.0,PIT,Punt,-4.0,"2,7",40.0
5,3.0,10.0,0.0,1.0,PIT,Punt,-4.0,"3,10",43.0
6,4.0,10.0,0.0,1.0,PIT,Punt,-4.0,"4,10",43.0
0,1.0,10.0,1.0,1.0,TEN,Punt,-40.0,"1,10",90.0
1,2.0,4.0,1.0,1.0,TEN,Punt,-40.0,"2,4",84.0
2,3.0,6.0,1.0,1.0,TEN,Punt,-40.0,"3,6",86.0
3,1.0,10.0,0.0,1.0,TEN,Punt,-40.0,"1,10",70.0
4,2.0,6.0,0.0,1.0,TEN,Punt,-40.0,"2,6",66.0
5,3.0,6.0,0.0,1.0,TEN,Punt,-40.0,"3,6",66.0
6,3.0,11.0,0.0,1.0,TEN,Punt,-40.0,"3,11",71.0
7,4.0,11.0,0.0,1.0,TEN,Punt,-40.0,"4,11",71.0
0,1.0,10.0,0.0,1.0,PIT,Punt,-35.0,"1,10",85.0
1,2.0,7.0,0.0,1.0,PIT,Punt,-35.0,"2,7",82.0
2,3.0,7.0,0.0,1.0,PIT,Punt,-35.0,"3,7",82.0
4,4.0,2.0,0.0,1.0,PIT,Punt,-35.0,"4,2",77.0
0,1.0,10.0,1.0,1.0,TEN,Field Goal,-13.0,"1,10",63.0
1,1.0,10.0,1.0,1.0,TEN,Field Goal,-13.0,"1,10",48.0
2,2.0,11.0,1.0,1.0,TEN,Field Goal,-13.0,"2,11",49.0
3,1.0,10.0,0.0,1.0,TEN,Field Goal,-13.0,"1,10",34.0
4,2.0,8.0,0.0,1.0,TEN,Field Goal,-13.0,"2,8",32.0
5,3.0,6.0,0.0,1.0,TEN,Field Goal,-13.0,"3,6",30.0
6,4.0,3.0,0.0,1.0,TEN,Field Goal,-13.0,"4,3",27.0
1,1.0,10.0,1.0,1.0,PIT,Field Goal,-20.0,"1,10",70.0
