,Down,ToGo,Success,Attempt,Team,DriveResult,DriveStart,DownGo,FieldPosition,GameKey,Opponent,DriveNum
1,1.0,10.0,0.0,1.0,PIT,Punt,-8.0,"1,10",58.0,54467.0,TEN,1.0
2,2.0,5.0,0.0,1.0,PIT,Punt,-8.0,"2,5",53.0,54467.0,TEN,1.0
3,3.0,8.0,0.0,1.0,PIT,Punt,-8.0,"3,8",56.0,54467.0,TEN,1.0
4,4.0,8.0,0.0,1.0,PIT,Punt,-8.0,"4,8",56.0,54467.0,TEN,1.0
0,1.0,10.0,0.0,1.0,TEN,Punt,-48.0,"1,10",98.0,54467.0,PIT,2.0
1,2.0,10.0,0.0,1.0,TEN,Punt,-48.0,"2,10",98.0,54467.0,PIT,2.0
2,3.0,6.0,0.0,1.0,TEN,Punt,-48.0,"3,6",94.0,54467.0,PIT,2.0
3,4.0,8.0,0.0,1.0,TEN,Punt,-48.0,"4,8",96.0,54467.0,PIT,2.0
0,1.0,10.0,1.0,1.0,PIT,Punt,7.0,"1,10",43.0,54467.0,TEN,3.0
1,2.0,7.0,1.0,1.0,PIT,Punt,7.0,"2,7",40.0,54467.0,TEN,3.0
2,1.0,10.0,0.0,1.0,PIT,Punt,7.0,"1,10",30.0,54467.0,TEN,3.0
3,2.0,11.0,0.0,1.0,PIT,Punt,7.0,"2,11",31.0,54467.0,TEN,3.0
4,3.0,2.0,0.0,1.0,PIT,Punt,7.0,"3,2",22.0,54467.0,TEN,3.0
5,4.0,21.0,0.0,1.0,PIT,Punt,7.0,"4,21",41.0,54467.0,TEN,3.0
0,1.0,10.0,1.0,1.0,TEN,Missed FG,-39.0,"1,10",89.0,54467.0,PIT,4.0
1,1.0,10.0,1.0,1.0,TEN,Missed FG,-39.0,"1,10",42.0,54467.0,PIT,4.0
2,1.0,10.0,0.0,1.0,TEN,Missed FG,-39.0,"1,10",22.0,54467.0,PIT,4.0
3,2.0,7.0,0.0,1.0,TEN,Missed FG,-39.0,"2,7",19.0,54467.0,PIT,4.0
4,3.0,7.0,0.0,1.0,TEN,Missed FG,-39.0,"3,7",19.0,54467.0,PIT,4.0
5,4.0,7.0,0.0,1.0,TEN,Missed FG,-39.0,"4,7",19.0,54467.0,PIT,4.0
0,1.0,10.0,0.0,1.0,PIT,Punt,-23.0,"1,10",73.0,54467.0,TEN,5.0
1,2.0,9.0,0.0,1.0,PIT,Punt,-23.0,"2,9",72.0,54467.0,TEN,5.0
2,3.0,7.0,0.0,1.0,PIT,Punt,-23.0,"3,7",70.0,54467.0,TEN,5.0
3,4.0,16.0,0.0,1.0,PIT,Punt,-23.0,"4,16",79.0,54467.0,TEN,5.0
0,1.0,10.0,1.0,1.0,TEN,Interception,-24.0,"1,10",74.0,54467.0,PIT,6.0
1,1.0,10.0,1.0,1.0,TEN,Interception,-24.0,"1,10",64.0,54467.0,PIT,6.0
2,1.0,15.0,1.0,1.0,TEN,Interception,-24.0,"1,15",69.0,54467.0,PIT,6.0
3,2.0,6.0,1.0,1.0,TEN,Interception,-24.0,"2,6",60.0,54467.0,PIT,6.0
