,Down,ToGo,Success,Attempt,Team,DriveResult,DriveStart,DownGo,FieldPosition,GameKey,Opponent,DriveNum
1,1.0,10.0,1.0,1.0,PIT,Missed FG,-30.0,"1,10",80.0,56503.0,NE,1.0
2,1.0,10.0,1.0,1.0,PIT,Missed FG,-30.0,"1,10",62.0,56503.0,NE,1.0
3,2.0,1.0,1.0,1.0,PIT,Missed FG,-30.0,"2,1",53.0,56503.0,NE,1.0
4,1.0,10.0,1.0,1.0,PIT,Missed FG,-30.0,"1,10",49.0,56503.0,NE,1.0
5,1.0,10.0,1.0,1.0,PIT,Missed FG,-30.0,"1,10",35.0,56503.0,NE,1.0
6,1.0,10.0,0.0,1.0,PIT,Missed FG,-30.0,"1,10",24.0,56503.0,NE,1.0
7,2.0,18.0,0.0,1.0,PIT,Missed FG,-30.0,"2,18",32.0,56503.0,NE,1.0
8,2.0,28.0,0.0,1.0,PIT,Missed FG,-30.0,"2,28",42.0,56503.0,NE,1.0
9,3.0,22.0,0.0,1.0,PIT,Missed FG,-30.0,"3,22",36.0,56503.0,NE,1.0
10,4.0,12.0,0.0,1.0,PIT,Missed FG,-30.0,"4,12",26.0,56503.0,NE,1.0
0,1.0,10.0,1.0,1.0,NE,Punt,-16.0,"1,10",66.0,56503.0,PIT,2.0
1,1.0,10.0,1.0,1.0,NE,Punt,-16.0,"1,10",68.0,56503.0,PIT,2.0
2,1.0,10.0,1.0,1.0,NE,Punt,-16.0,"1,10",56.0,56503.0,PIT,2.0
3,1.0,10.0,0.0,1.0,NE,Punt,-16.0,"1,10",43.0,56503.0,PIT,2.0
4,2.0,10.0,0.0,1.0,NE,Punt,-16.0,"2,10",43.0,56503.0,PIT,2.0
5,3.0,10.0,0.0,1.0,NE,Punt,-16.0,"3,10",43.0,56503.0,PIT,2.0
6,4.0,10.0,0.0,1.0,NE,Punt,-16.0,"4,10",43.0,56503.0,PIT,2.0
0,1.0,10.0,1.0,1.0,PIT,Punt,-43.0,"1,10",93.0,56503.0,NE,3.0
1,2.0,4.0,1.0,1.0,PIT,Punt,-43.0,"2,4",87.0,56503.0,NE,3.0
2,3.0,5.0,1.0,1.0,PIT,Punt,-43.0,"3,5",88.0,56503.0,NE,3.0
3,1.0,10.0,1.0,1.0,PIT,Punt,-43.0,"1,10",78.0,56503.0,NE,3.0
4,1.0,15.0,0.0,1.0,PIT,Punt,-43.0,"1,15",83.0,56503.0,NE,3.0
5,2.0,12.0,0.0,1.0,PIT,Punt,-43.0,"2,12",80.0,56503.0,NE,3.0
6,3.0,18.0,0.0,1.0,PIT,Punt,-43.0,"3,18",86.0,56503.0,NE,3.0
7,4.0,1.0,0.0,1.0,PIT,Punt,-43.0,"4,1",69.0,56503.0,NE,3.0
0,1.0,10.0,1.0,1.0,NE,Touchdown,-40.0,"1,10",90.0,56503.0,PIT,4.0
1,2.0,2.0,1.0,1.0,NE,Touchdown,-40.0,"2,2",82.0,56503.0,PIT,4.0
2,3.0,1.0,1.0,1.0,NE,Touchdown,-40.0,"3,1",81.0,56503.0,PIT,4.0
3,1.0,10.0,1.0,1.0,NE,Touchdown,-40.0,"1,10",80.0,56503.0,PIT,4.0
4,1.0,20.0,1.0,1.0,NE,Touchdown,-40.0,"1,20",90.0,56503.0,PIT,4.0
5,2.0,11.0,1.0,1.0,NE,Touchdown,-40.0,"2,11",81.0,56503.0,PIT,4.0
7,3.0,2.0,1.0,1.0,NE,Touchdown,-40.0,"3,2",72.0,56503.0,PIT,4.0
8,1.0,10.0,1.0,1.0,NE,Touchdown,-40.0,"1,10",63.0,56503.0,PIT,4.0
9,2.0,13.0,1.0,1.0,NE,Touchdown,-40.0,"2,13",66.0,56503.0,PIT,4.0
10,3.0,6.0,1.0,1.0,NE,Touchdown,-40.0,"3,6",59.0,56503.0,PIT,4.0
