,Down,ToGo,Success,Attempt,Team,DriveResult,DriveStart,DownGo,FieldPosition
1,1.0,10.0,0.0,1.0,NYG,Punt,-34.0,"1,10",84.0
2,2.0,10.0,0.0,1.0,NYG,Punt,-34.0,"2,10",84.0
3,3.0,5.0,0.0,1.0,NYG,Punt,-34.0,"3,5",79.0
4,4.0,5.0,0.0,1.0,NYG,Punt,-34.0,"4,5",79.0
0,1.0,10.0,0.0,1.0,DAL,Punt,-26.0,"1,10",76.0
1,2.0,7.0,0.0,1.0,DAL,Punt,-26.0,"2,7",73.0
2,3.0,15.0,0.0,1.0,DAL,Punt,-26.0,"3,15",81.0
3,4.0,15.0,0.0,1.0,DAL,Punt,-26.0,"4,15",81.0
0,1.0,10.0,1.0,1.0,NYG,Fumble,-37.0,"1,10",87.0
1,2.0,8.0,1.0,1.0,NYG,Fumble,-37.0,"2,8",85.0
2,3.0,5.0,1.0,1.0,NYG,Fumble,-37.0,"3,5",82.0
3,1.0,10.0,1.0,1.0,NYG,Fumble,-37.0,"1,10",56.0
4,2.0,1.0,1.0,1.0,NYG,Fumble,-37.0,"2,1",47.0
5,2.0,6.0,1.0,1.0,NYG,Fumble,-37.0,"2,6",52.0
6,1.0,10.0,1.0,1.0,NYG,Fumble,-37.0,"1,10",42.0
7,2.0,7.0,1.0,1.0,NYG,Fumble,-37.0,"2,7",39.0
8,1.0,10.0,0.0,1.0,NYG,Fumble,-37.0,"1,10",31.0
9,2.0,8.0,0.0,1.0,NYG,Fumble,-37.0,"2,8",29.0
0,1.0,10.0,1.0,1.0,DAL,Downs,-16.0,"1,10",66.0
1,2.0,8.0,1.0,1.0,DAL,Downs,-16.0,"2,8",64.0
2,2.0,13.0,1.0,1.0,DAL,Downs,-16.0,"2,13",69.0
3,3.0,4.0,1.0,1.0,DAL,Downs,-16.0,"3,4",60.0
4,1.0,10.0,1.0,1.0,DAL,Downs,-16.0,"1,10",46.0
5,1.0,15.0,0.0,1.0,DAL,Downs,-16.0,"1,15",51.0
6,2.0,10.0,0.0,1.0,DAL,Downs,-16.0,"2,10",46.0
7,3.0,10.0,0.0,1.0,DAL,Downs,-16.0,"3,10",46.0
8,4.0,1.0,0.0,1.0,DAL,Downs,-16.0,"4,1",37.0
0,1.0,10.0,1.0,1.0,NYG,Punt,-13.0,"1,10",63.0
1,1.0,10.0,1.0,1.0,NYG,Punt,-13.0,"1,10",53.0
2,2.0,7.0,1.0,1.0,NYG,Punt,-13.0,"2,7",50.0
3,3.0,2.0,1.0,1.0,NYG,Punt,-13.0,"3,2",45.0
5,1.0,10.0,0.0,1.0,NYG,Punt,-13.0,"1,10",41.0
6,2.0,25.0,0.0,1.0,NYG,Punt,-13.0,"2,25",56.0
7,3.0,14.0,0.0,1.0,NYG,Punt,-13.0,"3,14",45.0
8,4.0,14.0,0.0,1.0,NYG,Punt,-13.0,"4,14",45.0
0,1.0,10.0,1.0,1.0,DAL,Interception,-30.0,"1,10",80.0
1,1.0,10.0,0.0,1.0,DAL,Interception,-30.0,"1,10",62.0
2,2.0,11.0,0.0,1.0,DAL,Interception,-30.0,"2,11",63.0
3,3.0,3.0,0.0,1.0,DAL,Interception,-30.0,"3,3",55.0
4,3.0,8.0,0.0,1.0,DAL,Interception,-30.0,"3,8",60.0
0,1.0,1.0,0.0,1.0,NYG,Field Goal,49.0,"1,1",1.0
1,2.0,3.0,0.0,1.0,NYG,Field Goal,49.0,"2,3",3.0
2,3.0,4.0,0.0,1.0,NYG,Field Goal,49.0,"3,4",4.0
3,4.0,4.0,0.0,1.0,NYG,Field Goal,49.0,"4,4",4.0
1,1.0,10.0,1.0,1.0,DAL,Punt,-30.0,"1,10",80.0
2,2.0,8.0,1.0,1.0,DAL,Punt,-30.0,"2,8",78.0
3,1.0,10.0,0.0,1.0,DAL,Punt,-30.0,"1,10",68.0
4,2.0,7.0,0.0,1.0,DAL,Punt,-30.0,"2,7",65.0
5,2.0,12.0,0.0,1.0,DAL,Punt,-30.0,"2,12",70.0
6,3.0,15.0,0.0,1.0,DAL,Punt,-30.0,"3,15",73.0
7,4.0,6.0,0.0,1.0,DAL,Punt,-30.0,"4,6",64.0
0,1.0,10.0,0.0,1.0,NYG,Punt,-34.0,"1,10",84.0
1,2.0,10.0,0.0,1.0,NYG,Punt,-34.0,"2,10",84.0
2,3.0,8.0,0.0,1.0,NYG,Punt,-34.0,"3,8",82.0
3,4.0,8.0,0.0,1.0,NYG,Punt,-34.0,"4,8",82.0
0,1.0,10.0,1.0,1.0,DAL,Touchdown,-23.0,"1,10",73.0
1,1.0,15.0,1.0,1.0,DAL,Touchdown,-23.0,"1,15",78.0
2,2.0,2.0,1.0,1.0,DAL,Touchdown,-23.0,"2,2",65.0
3,1.0,10.0,1.0,1.0,DAL,Touchdown,-23.0,"1,10",62.0
4,2.0,1.0,1.0,1.0,DAL,Touchdown,-23.0,"2,1",53.0
6,3.0,1.0,1.0,1.0,DAL,Touchdown,-23.0,"3,1",53.0
7,1.0,10.0,1.0,1.0,DAL,Touchdown,-23.0,"1,10",15.0
9,2.0,5.0,1.0,1.0,DAL,Touchdown,-23.0,"2,5",10.0
1,1.0,10.0,0.0,1.0,NYG,End of Half,-20.0,"1,10",70.0
2,2.0,10.0,0.0,1.0,NYG,End of Half,-20.0,"2,10",70.0
3,3.0,16.0,0.0,1.0,NYG,End of Half,-20.0,"3,16",76.0
1,1.0,10.0,1.0,1.0,DAL,Touchdown,-30.0,"1,10",80.0
2,2.0,1.0,1.0,1.0,DAL,Touchdown,-30.0,"2,1",71.0
3,1.0,10.0,1.0,1.0,DAL,Touchdown,-30.0,"1,10",69.0
4,2.0,10.0,1.0,1.0,DAL,Touchdown,-30.0,"2,10",69.0
5,3.0,1.0,1.0,1.0,DAL,Touchdown,-30.0,"3,1",60.0
6,1.0,10.0,1.0,1.0,DAL,Touchdown,-30.0,"1,10",56.0
7,2.0,10.0,1.0,1.0,DAL,Touchdown,-30.0,"2,10",56.0
8,1.0,10.0,1.0,1.0,DAL,Touchdown,-30.0,"1,10",40.0
9,2.0,10.0,1.0,1.0,DAL,Touchdown,-30.0,"2,10",40.0
1,1.0,10.0,1.0,1.0,NYG,Touchdown,-39.0,"1,10",89.0
2,1.0,10.0,1.0,1.0,NYG,Touchdown,-39.0,"1,10",77.0
3,2.0,8.0,1.0,1.0,NYG,Touchdown,-39.0,"2,8",75.0
4,2.0,6.0,1.0,1.0,NYG,Touchdown,-39.0,"2,6",73.0
5,1.0,10.0,1.0,1.0,NYG,Touchdown,-39.0,"1,10",67.0
6,1.0,10.0,1.0,1.0,NYG,Touchdown,-39.0,"1,10",55.0
7,2.0,5.0,1.0,1.0,NYG,Touchdown,-39.0,"2,5",50.0
8,3.0,4.0,1.0,1.0,NYG,Touchdown,-39.0,"3,4",49.0
9,1.0,10.0,1.0,1.0,NYG,Touchdown,-39.0,"1,10",10.0
1,1.0,10.0,1.0,1.0,DAL,Field Goal,-30.0,"1,10",80.0
2,2.0,3.0,1.0,1.0,DAL,Field Goal,-30.0,"2,3",73.0
3,1.0,10.0,1.0,1.0,DAL,Field Goal,-30.0,"1,10",25.0
5,2.0,4.0,1.0,1.0,DAL,Field Goal,-30.0,"2,4",19.0
6,1.0,10.0,0.0,1.0,DAL,Field Goal,-30.0,"1,10",10.0
7,2.0,6.0,0.0,1.0,DAL,Field Goal,-30.0,"2,6",6.0
8,3.0,15.0,0.0,1.0,DAL,Field Goal,-30.0,"3,15",15.0
9,4.0,15.0,0.0,1.0,DAL,Field Goal,-30.0,"4,15",15.0
1,1.0,10.0,1.0,1.0,NYG,Punt,-32.0,"1,10",82.0
3,2.0,5.0,1.0,1.0,NYG,Punt,-32.0,"2,5",77.0
4,3.0,5.0,1.0,1.0,NYG,Punt,-32.0,"3,5",77.0
5,1.0,10.0,0.0,1.0,NYG,Punt,-32.0,"1,10",62.0
