,Down,ToGo,Success,Attempt,Team,DriveResult,DriveStart,DownGo,FieldPosition
6,2.0,10.0,0.0,1.0,NYG,Punt,-32.0,"2,10",62.0
7,3.0,4.0,0.0,1.0,NYG,Punt,-32.0,"3,4",56.0
8,4.0,9.0,0.0,1.0,NYG,Punt,-32.0,"4,9",61.0
0,1.0,10.0,1.0,1.0,DAL,Touchdown,-32.0,"1,10",82.0
1,2.0,5.0,1.0,1.0,DAL,Touchdown,-32.0,"2,5",77.0
2,2.0,10.0,1.0,1.0,DAL,Touchdown,-32.0,"2,10",82.0
3,1.0,10.0,1.0,1.0,DAL,Touchdown,-32.0,"1,10",68.0
4,2.0,5.0,1.0,1.0,DAL,Touchdown,-32.0,"2,5",63.0
5,1.0,10.0,1.0,1.0,DAL,Touchdown,-32.0,"1,10",43.0
6,2.0,1.0,1.0,1.0,DAL,Touchdown,-32.0,"2,1",34.0
7,1.0,10.0,1.0,1.0,DAL,Touchdown,-32.0,"1,10",29.0
8,1.0,15.0,1.0,1.0,DAL,Touchdown,-32.0,"1,15",34.0
9,2.0,5.0,1.0,1.0,DAL,Touchdown,-32.0,"2,5",24.0
10,2.0,10.0,1.0,1.0,DAL,Touchdown,-32.0,"2,10",29.0
11,1.0,10.0,1.0,1.0,DAL,Touchdown,-32.0,"1,10",14.0
12,1.0,20.0,1.0,1.0,DAL,Touchdown,-32.0,"1,20",24.0
13,1.0,30.0,1.0,1.0,DAL,Touchdown,-32.0,"1,30",34.0
1,1.0,10.0,1.0,1.0,NYG,Touchdown,-29.0,"1,10",79.0
2,2.0,1.0,1.0,1.0,NYG,Touchdown,-29.0,"2,1",70.0
3,3.0,1.0,1.0,1.0,NYG,Touchdown,-29.0,"3,1",70.0
4,1.0,10.0,1.0,1.0,NYG,Touchdown,-29.0,"1,10",37.0
5,2.0,10.0,1.0,1.0,NYG,Touchdown,-29.0,"2,10",37.0
6,3.0,10.0,1.0,1.0,NYG,Touchdown,-29.0,"3,10",37.0
8,4.0,2.0,1.0,1.0,NYG,Touchdown,-29.0,"4,2",29.0
9,1.0,10.0,1.0,1.0,NYG,Touchdown,-29.0,"1,10",22.0
10,2.0,10.0,1.0,1.0,NYG,Touchdown,-29.0,"2,10",22.0
12,3.0,6.0,1.0,1.0,NYG,Touchdown,-29.0,"3,6",18.0
13,4.0,1.0,1.0,1.0,NYG,Touchdown,-29.0,"4,1",13.0
14,1.0,9.0,1.0,1.0,NYG,Touchdown,-29.0,"1,9",9.0
1,1.0,10.0,0.0,1.0,CHI,Punt,-34.0,"1,10",84.0
2,2.0,22.0,0.0,1.0,CHI,Punt,-34.0,"2,22",96.0
3,2.0,24.0,0.0,1.0,CHI,Punt,-34.0,"2,24",98.0
4,3.0,21.0,0.0,1.0,CHI,Punt,-34.0,"3,21",95.0
5,4.0,21.0,0.0,1.0,CHI,Punt,-34.0,"4,21",95.0
0,1.0,10.0,0.0,1.0,IND,Punt,0.0,"1,10",50.0
1,2.0,2.0,0.0,1.0,IND,Punt,0.0,"2,2",42.0
2,3.0,4.0,0.0,1.0,IND,Punt,0.0,"3,4",44.0
3,4.0,4.0,0.0,1.0,IND,Punt,0.0,"4,4",44.0
0,1.0,10.0,0.0,1.0,CHI,Interception,-47.0,"1,10",97.0
1,1.0,10.0,1.0,1.0,CHI,Touchdown,-30.0,"1,10",80.0
2,2.0,10.0,1.0,1.0,CHI,Touchdown,-30.0,"2,10",80.0
3,3.0,10.0,1.0,1.0,CHI,Touchdown,-30.0,"3,10",80.0
4,1.0,10.0,1.0,1.0,CHI,Touchdown,-30.0,"1,10",67.0
5,2.0,10.0,1.0,1.0,CHI,Touchdown,-30.0,"2,10",67.0
6,1.0,10.0,1.0,1.0,CHI,Touchdown,-30.0,"1,10",35.0
7,2.0,10.0,1.0,1.0,CHI,Touchdown,-30.0,"2,10",35.0
8,3.0,10.0,1.0,1.0,CHI,Touchdown,-30.0,"3,10",35.0
9,1.0,10.0,1.0,1.0,CHI,Touchdown,-30.0,"1,10",16.0
10,2.0,10.0,1.0,1.0,CHI,Touchdown,-30.0,"2,10",16.0
12,1.0,1.0,1.0,1.0,CHI,Touchdown,-30.0,"1,1",1.0
13,1.0,1.0,1.0,1.0,CHI,Touchdown,-30.0,"1,1",1.0
14,2.0,1.0,1.0,1.0,CHI,Touchdown,-30.0,"2,1",1.0
1,1.0,10.0,1.0,1.0,IND,Punt,-30.0,"1,10",80.0
2,2.0,2.0,1.0,1.0,IND,Punt,-30.0,"2,2",72.0
3,3.0,2.0,1.0,1.0,IND,Punt,-30.0,"3,2",72.0
4,1.0,10.0,0.0,1.0,IND,Punt,-30.0,"1,10",69.0
5,2.0,14.0,0.0,1.0,IND,Punt,-30.0,"2,14",73.0
6,3.0,4.0,0.0,1.0,IND,Punt,-30.0,"3,4",63.0
7,4.0,4.0,0.0,1.0,IND,Punt,-30.0,"4,4",63.0
0,1.0,10.0,0.0,1.0,CHI,Punt,-30.0,"1,10",80.0
1,2.0,10.0,0.0,1.0,CHI,Punt,-30.0,"2,10",80.0
2,3.0,7.0,0.0,1.0,CHI,Punt,-30.0,"3,7",77.0
3,4.0,7.0,0.0,1.0,CHI,Punt,-30.0,"4,7",77.0
0,1.0,10.0,0.0,1.0,IND,Punt,-6.0,"1,10",56.0
1,2.0,9.0,0.0,1.0,IND,Punt,-6.0,"2,9",55.0
2,3.0,6.0,0.0,1.0,IND,Punt,-6.0,"3,6",52.0
4,3.0,1.0,0.0,1.0,IND,Punt,-6.0,"3,1",47.0
5,4.0,1.0,0.0,1.0,IND,Punt,-6.0,"4,1",47.0
0,1.0,10.0,1.0,1.0,CHI,Touchdown,-45.0,"1,10",95.0
1,2.0,3.0,1.0,1.0,CHI,Touchdown,-45.0,"2,3",88.0
2,1.0,10.0,1.0,1.0,CHI,Touchdown,-45.0,"1,10",85.0
4,2.0,9.0,1.0,1.0,CHI,Touchdown,-45.0,"2,9",84.0
5,3.0,4.0,1.0,1.0,CHI,Touchdown,-45.0,"3,4",79.0
6,1.0,10.0,1.0,1.0,CHI,Touchdown,-45.0,"1,10",69.0
7,1.0,10.0,1.0,1.0,CHI,Touchdown,-45.0,"1,10",53.0
8,2.0,10.0,1.0,1.0,CHI,Touchdown,-45.0,"2,10",53.0
9,2.0,20.0,1.0,1.0,CHI,Touchdown,-45.0,"2,20",63.0
10,1.0,10.0,1.0,1.0,CHI,Touchdown,-45.0,"1,10",34.0
11,2.0,10.0,1.0,1.0,CHI,Touchdown,-45.0,"2,10",34.0
12,1.0,3.0,1.0,1.0,CHI,Touchdown,-45.0,"1,3",3.0
1,1.0,10.0,1.0,1.0,IND,Interception,-30.0,"1,10",80.0
2,1.0,10.0,0.0,1.0,IND,Interception,-30.0,"1,10",63.0
0,1.0,10.0,1.0,1.0,CHI,Field Goal,-13.0,"1,10",63.0
1,1.0,10.0,1.0,1.0,CHI,Field Goal,-13.0,"1,10",39.0
2,2.0,9.0,1.0,1.0,CHI,Field Goal,-13.0,"2,9",38.0
3,1.0,10.0,0.0,1.0,CHI,Field Goal,-13.0,"1,10",23.0
4,2.0,10.0,0.0,1.0,CHI,Field Goal,-13.0,"2,10",23.0
5,2.0,20.0,0.0,1.0,CHI,Field Goal,-13.0,"2,20",33.0
6,3.0,11.0,0.0,1.0,CHI,Field Goal,-13.0,"3,11",24.0
7,4.0,4.0,0.0,1.0,CHI,Field Goal,-13.0,"4,4",17.0
2,1.0,10.0,1.0,1.0,IND,Touchdown,-27.0,"1,10",77.0
3,1.0,10.0,1.0,1.0,IND,Touchdown,-27.0,"1,10",54.0
4,1.0,10.0,1.0,1.0,IND,Touchdown,-27.0,"1,10",48.0
5,1.0,10.0,1.0,1.0,IND,Touchdown,-27.0,"1,10",30.0
6,2.0,10.0,1.0,1.0,IND,Touchdown,-27.0,"2,10",30.0
7,1.0,10.0,1.0,1.0,IND,Touchdown,-27.0,"1,10",18.0
1,1.0,10.0,1.0,1.0,CHI,Touchdown,-22.0,"1,10",72.0
2,1.0,10.0,1.0,1.0,CHI,Touchdown,-22.0,"1,10",55.0
3,2.0,10.0,1.0,1.0,CHI,Touchdown,-22.0,"2,10",55.0
4,3.0,10.0,1.0,1.0,CHI,Touchdown,-22.0,"3,10",55.0
6,1.0,10.0,1.0,1.0,CHI,Touchdown,-22.0,"1,10",40.0
7,2.0,9.0,1.0,1.0,CHI,Touchdown,-22.0,"2,9",39.0
8,1.0,10.0,1.0,1.0,CHI,Touchdown,-22.0,"1,10",26.0
9,1.0,1.0,1.0,1.0,CHI,Touchdown,-22.0,"1,1",1.0
10,1.0,1.0,1.0,1.0,CHI,Touchdown,-22.0,"1,1",1.0
1,1.0,10.0,1.0,1.0,IND,Missed FG,-28.0,"1,10",78.0
3,2.0,3.0,1.0,1.0,IND,Missed FG,-28.0,"2,3",71.0
4,1.0,10.0,1.0,1.0,IND,Missed FG,-28.0,"1,10",63.0
5,1.0,10.0,1.0,1.0,IND,Missed FG,-28.0,"1,10",41.0
7,1.0,10.0,0.0,1.0,IND,Missed FG,-28.0,"1,10",19.0
8,2.0,10.0,0.0,1.0,IND,Missed FG,-28.0,"2,10",19.0
0,1.0,10.0,0.0,1.0,CHI,End of Half,-23.0,"1,10",73.0
1,1.0,10.0,0.0,1.0,IND,Punt,-30.0,"1,10",80.0
2,2.0,9.0,0.0,1.0,IND,Punt,-30.0,"2,9",79.0
3,3.0,9.0,0.0,1.0,IND,Punt,-30.0,"3,9",79.0
4,4.0,9.0,0.0,1.0,IND,Punt,-30.0,"4,9",79.0
0,1.0,10.0,1.0,1.0,CHI,Touchdown,-5.0,"1,10",55.0
2,1.0,10.0,1.0,1.0,CHI,Touchdown,-5.0,"1,10",35.0
3,1.0,10.0,1.0,1.0,CHI,Touchdown,-5.0,"1,10",12.0
4,2.0,4.0,1.0,1.0,CHI,Touchdown,-5.0,"2,4",6.0
0,1.0,10.0,0.0,1.0,CHI,Field Goal,38.0,"1,10",12.0
1,2.0,14.0,0.0,1.0,CHI,Field Goal,38.0,"2,14",16.0
2,3.0,6.0,0.0,1.0,CHI,Field Goal,38.0,"3,6",8.0
3,4.0,6.0,0.0,1.0,CHI,Field Goal,38.0,"4,6",8.0
1,1.0,10.0,1.0,1.0,IND,Interception,-30.0,"1,10",80.0
2,2.0,5.0,1.0,1.0,IND,Interception,-30.0,"2,5",75.0
3,3.0,8.0,1.0,1.0,IND,Interception,-30.0,"3,8",78.0
4,1.0,10.0,1.0,1.0,IND,Interception,-30.0,"1,10",73.0
5,2.0,10.0,1.0,1.0,IND,Interception,-30.0,"2,10",73.0
6,1.0,10.0,1.0,1.0,IND,Interception,-30.0,"1,10",60.0
7,2.0,10.0,1.0,1.0,IND,Interception,-30.0,"2,10",60.0
8,3.0,10.0,1.0,1.0,IND,Interception,-30.0,"3,10",60.0
9,1.0,10.0,1.0,1.0,IND,Interception,-30.0,"1,10",41.0
10,1.0,10.0,0.0,1.0,IND,Interception,-30.0,"1,10",17.0
11,2.0,10.0,0.0,1.0,IND,Interception,-30.0,"2,10",17.0
13,3.0,3.0,0.0,1.0,IND,Interception,-30.0,"3,3",10.0
0,1.0,10.0,0.0,1.0,CHI,Punt,-18.0,"1,10",68.0
1,2.0,11.0,0.0,1.0,CHI,Punt,-18.0,"2,11",69.0
2,3.0,13.0,0.0,1.0,CHI,Punt,-18.0,"3,13",71.0
3,4.0,20.0,0.0,1.0,CHI,Punt,-18.0,"4,20",78.0
0,1.0,10.0,1.0,1.0,IND,Fumble,-4.0,"1,10",54.0
1,2.0,10.0,1.0,1.0,IND,Fumble,-4.0,"2,10",54.0
2,1.0,10.0,0.0,1.0,IND,Fumble,-4.0,"1,10",41.0
0,1.0,10.0,0.0,1.0,CHI,Punt,-9.0,"1,10",59.0
1,2.0,13.0,0.0,1.0,CHI,Punt,-9.0,"2,13",62.0
2,3.0,13.0,0.0,1.0,CHI,Punt,-9.0,"3,13",62.0
3,4.0,1.0,0.0,1.0,CHI,Punt,-9.0,"4,1",50.0
0,1.0,10.0,1.0,1.0,IND,Touchdown,-30.0,"1,10",80.0
2,2.0,4.0,1.0,1.0,IND,Touchdown,-30.0,"2,4",74.0
3,1.0,10.0,1.0,1.0,IND,Touchdown,-30.0,"1,10",54.0
4,2.0,8.0,1.0,1.0,IND,Touchdown,-30.0,"2,8",52.0
5,1.0,10.0,1.0,1.0,IND,Touchdown,-30.0,"1,10",31.0
6,2.0,10.0,1.0,1.0,IND,Touchdown,-30.0,"2,10",31.0
7,3.0,10.0,1.0,1.0,IND,Touchdown,-30.0,"3,10",31.0
8,4.0,10.0,1.0,1.0,IND,Touchdown,-30.0,"4,10",31.0
9,1.0,10.0,1.0,1.0,IND,Touchdown,-30.0,"1,10",18.0
10,2.0,3.0,1.0,1.0,IND,Touchdown,-30.0,"2,3",11.0
11,1.0,4.0,1.0,1.0,IND,Touchdown,-30.0,"1,4",4.0
12,2.0,4.0,1.0,1.0,IND,Touchdown,-30.0,"2,4",4.0
2,1.0,10.0,1.0,1.0,CHI,Touchdown,-30.0,"1,10",80.0
3,2.0,9.0,1.0,1.0,CHI,Touchdown,-30.0,"2,9",79.0
4,1.0,10.0,1.0,1.0,CHI,Touchdown,-30.0,"1,10",57.0
5,2.0,7.0,1.0,1.0,CHI,Touchdown,-30.0,"2,7",54.0
6,3.0,1.0,1.0,1.0,CHI,Touchdown,-30.0,"3,1",48.0
7,1.0,10.0,1.0,1.0,CHI,Touchdown,-30.0,"1,10",45.0
8,2.0,7.0,1.0,1.0,CHI,Touchdown,-30.0,"2,7",42.0
2,1.0,10.0,1.0,1.0,IND,Punt,-31.0,"1,10",81.0
3,2.0,10.0,1.0,1.0,IND,Punt,-31.0,"2,10",81.0
4,1.0,10.0,0.0,1.0,IND,Punt,-31.0,"1,10",70.0
5,2.0,10.0,0.0,1.0,IND,Punt,-31.0,"2,10",70.0
6,3.0,10.0,0.0,1.0,IND,Punt,-31.0,"3,10",70.0
7,4.0,19.0,0.0,1.0,IND,Punt,-31.0,"4,19",79.0
0,1.0,10.0,1.0,1.0,CHI,Punt,-25.0,"1,10",75.0
1,1.0,20.0,0.0,1.0,CHI,Punt,-25.0,"1,20",85.0
2,2.0,17.0,0.0,1.0,CHI,Punt,-25.0,"2,17",82.0
3,3.0,20.0,0.0,1.0,CHI,Punt,-25.0,"3,20",85.0
5,4.0,14.0,0.0,1.0,CHI,Punt,-25.0,"4,14",79.0
0,1.0,10.0,1.0,1.0,IND,Interception,-7.0,"1,10",57.0
1,2.0,8.0,1.0,1.0,IND,Interception,-7.0,"2,8",55.0
2,3.0,8.0,1.0,1.0,IND,Interception,-7.0,"3,8",55.0
4,4.0,15.0,1.0,1.0,IND,Interception,-7.0,"4,15",62.0
5,1.0,10.0,0.0,1.0,IND,Interception,-7.0,"1,10",36.0
1,1.0,10.0,1.0,1.0,MIN,Punt,-26.0,"1,10",76.0
2,1.0,10.0,0.0,1.0,MIN,Punt,-26.0,"1,10",61.0
3,2.0,6.0,0.0,1.0,MIN,Punt,-26.0,"2,6",57.0
4,3.0,2.0,0.0,1.0,MIN,Punt,-26.0,"3,2",53.0
5,4.0,1.0,0.0,1.0,MIN,Punt,-26.0,"4,1",52.0
0,1.0,10.0,1.0,1.0,JAC,Field Goal,-28.0,"1,10",78.0
1,2.0,5.0,1.0,1.0,JAC,Field Goal,-28.0,"2,5",73.0
2,1.0,10.0,1.0,1.0,JAC,Field Goal,-28.0,"1,10",68.0
3,2.0,7.0,1.0,1.0,JAC,Field Goal,-28.0,"2,7",65.0
4,3.0,7.0,1.0,1.0,JAC,Field Goal,-28.0,"3,7",65.0
5,1.0,10.0,1.0,1.0,JAC,Field Goal,-28.0,"1,10",57.0
6,2.0,14.0,1.0,1.0,JAC,Field Goal,-28.0,"2,14",61.0
7,2.0,9.0,1.0,1.0,JAC,Field Goal,-28.0,"2,9",56.0
8,3.0,9.0,1.0,1.0,JAC,Field Goal,-28.0,"3,9",56.0
9,1.0,10.0,1.0,1.0,JAC,Field Goal,-28.0,"1,10",43.0
10,2.0,7.0,1.0,1.0,JAC,Field Goal,-28.0,"2,7",40.0
11,3.0,8.0,1.0,1.0,JAC,Field Goal,-28.0,"3,8",41.0
12,1.0,10.0,1.0,1.0,JAC,Field Goal,-28.0,"1,10",23.0
13,2.0,10.0,1.0,1.0,JAC,Field Goal,-28.0,"2,10",23.0
14,2.0,15.0,1.0,1.0,JAC,Field Goal,-28.0,"2,15",28.0
15,3.0,2.0,1.0,1.0,JAC,Field Goal,-28.0,"3,2",15.0
16,1.0,5.0,0.0,1.0,JAC,Field Goal,-28.0,"1,5",5.0
17,2.0,5.0,0.0,1.0,JAC,Field Goal,-28.0,"2,5",5.0
18,3.0,1.0,0.0,1.0,JAC,Field Goal,-28.0,"3,1",1.0
19,4.0,1.0,0.0,1.0,JAC,Field Goal,-28.0,"4,1",1.0
1,1.0,10.0,0.0,1.0,MIN,Punt,-27.0,"1,10",77.0
2,2.0,10.0,0.0,1.0,MIN,Punt,-27.0,"2,10",77.0
3,3.0,6.0,0.0,1.0,MIN,Punt,-27.0,"3,6",73.0
4,4.0,6.0,0.0,1.0,MIN,Punt,-27.0,"4,6",73.0
0,1.0,10.0,1.0,1.0,JAC,Punt,-29.0,"1,10",79.0
1,1.0,10.0,0.0,1.0,JAC,Punt,-29.0,"1,10",68.0
3,2.0,7.0,0.0,1.0,JAC,Punt,-29.0,"2,7",65.0
4,3.0,7.0,0.0,1.0,JAC,Punt,-29.0,"3,7",65.0
5,4.0,7.0,0.0,1.0,JAC,Punt,-29.0,"4,7",65.0
0,1.0,10.0,0.0,1.0,MIN,Punt,-21.0,"1,10",71.0
1,2.0,1.0,0.0,1.0,MIN,Punt,-21.0,"2,1",62.0
2,3.0,3.0,0.0,1.0,MIN,Punt,-21.0,"3,3",64.0
3,4.0,4.0,0.0,1.0,MIN,Punt,-21.0,"4,4",65.0
0,1.0,10.0,1.0,1.0,JAC,Touchdown,-28.0,"1,10",78.0
1,1.0,20.0,1.0,1.0,JAC,Touchdown,-28.0,"1,20",88.0
2,2.0,11.0,1.0,1.0,JAC,Touchdown,-28.0,"2,11",79.0
3,1.0,10.0,1.0,1.0,JAC,Touchdown,-28.0,"1,10",53.0
4,2.0,2.0,1.0,1.0,JAC,Touchdown,-28.0,"2,2",45.0
5,1.0,10.0,1.0,1.0,JAC,Touchdown,-28.0,"1,10",41.0
6,1.0,10.0,1.0,1.0,JAC,Touchdown,-28.0,"1,10",34.0
7,2.0,6.0,1.0,1.0,JAC,Touchdown,-28.0,"2,6",30.0
8,3.0,4.0,1.0,1.0,JAC,Touchdown,-28.0,"3,4",28.0
9,1.0,10.0,1.0,1.0,JAC,Touchdown,-28.0,"1,10",21.0
10,2.0,1.0,1.0,1.0,JAC,Touchdown,-28.0,"2,1",12.0
11,1.0,1.0,1.0,1.0,JAC,Touchdown,-28.0,"1,1",1.0
1,1.0,10.0,1.0,1.0,MIN,Punt,-30.0,"1,10",80.0
2,2.0,10.0,1.0,1.0,MIN,Punt,-30.0,"2,10",80.0
3,3.0,8.0,1.0,1.0,MIN,Punt,-30.0,"3,8",78.0
4,1.0,10.0,0.0,1.0,MIN,Punt,-30.0,"1,10",63.0
5,2.0,10.0,0.0,1.0,MIN,Punt,-30.0,"2,10",63.0
6,3.0,3.0,0.0,1.0,MIN,Punt,-30.0,"3,3",56.0
7,4.0,3.0,0.0,1.0,MIN,Punt,-30.0,"4,3",56.0
0,1.0,10.0,0.0,1.0,JAC,Punt,-31.0,"1,10",81.0
2,2.0,9.0,0.0,1.0,JAC,Punt,-31.0,"2,9",80.0
4,3.0,8.0,0.0,1.0,JAC,Punt,-31.0,"3,8",79.0
5,4.0,8.0,0.0,1.0,JAC,Punt,-31.0,"4,8",79.0
0,1.0,10.0,1.0,1.0,MIN,Touchdown,-9.0,"1,10",59.0
