,Team,year,Gain
243,PHI,2013,32.0
244,PHI,2013,4.0
245,PHI,2013,63.0
246,PHI,2013,0.0
247,PHI,2013,3.0
248,PHI,2013,7.0
249,PHI,2013,15.0
250,PHI,2013,4.0
251,PHI,2013,19.0
252,PHI,2013,17.0
253,PHI,2013,0.0
254,PHI,2013,2.0
255,PHI,2013,46.0
256,PHI,2013,-7.0
257,PHI,2013,59.0
258,PHI,2013,3.0
259,PHI,2013,-4.0
260,PHI,2013,-1.0
261,PHI,2013,4.0
262,PHI,2013,7.0
263,PHI,2013,3.0
264,PHI,2013,-3.0
265,PHI,2013,2.0
266,PHI,2013,9.0
267,PHI,2013,5.0
268,PHI,2013,9.0
269,PHI,2013,0.0
270,PHI,2013,0.0
271,PHI,2013,10.0
272,PHI,2013,3.0
273,PHI,2013,9.0
274,PHI,2013,45.0
275,PHI,2013,18.0
276,PHI,2013,3.0
277,PHI,2013,4.0
278,PHI,2013,2.0
279,PHI,2013,1.0
280,PHI,2013,1.0
281,PHI,2013,-1.0
282,PHI,2013,-1.0
283,PHI,2013,15.0
284,PHI,2013,49.0
285,PHI,2013,14.0
286,PHI,2013,0.0
287,PHI,2013,42.0
288,PHI,2013,-6.0
289,PHI,2013,26.0
290,PHI,2013,24.0
291,PHI,2013,5.0
292,PHI,2013,-9.0
293,PHI,2013,4.0
294,PHI,2013,0.0
295,PHI,2013,5.0
296,PHI,2013,5.0
297,PHI,2013,-10.0
298,PHI,2013,22.0
299,PHI,2013,11.0
300,PHI,2013,-3.0
301,PHI,2013,5.0
302,PHI,2013,0.0
303,PHI,2013,-6.0
304,PHI,2013,11.0
305,PHI,2013,3.0
306,PHI,2013,5.0
307,PHI,2013,3.0
308,PHI,2013,-7.0
309,PHI,2013,22.0
310,PHI,2013,2.0
311,PHI,2013,6.0
312,PHI,2013,14.0
313,PHI,2013,6.0
314,PHI,2013,19.0
315,PHI,2013,9.0
316,PHI,2013,0.0
317,PHI,2013,25.0
318,PHI,2013,0.0
319,PHI,2013,0.0
320,PHI,2013,28.0
321,PHI,2013,0.0
322,PHI,2013,0.0
323,PHI,2013,5.0
324,PHI,2013,0.0
325,PHI,2013,-2.0
326,PHI,2013,0.0
327,PHI,2013,0.0
328,PHI,2013,0.0
329,PHI,2013,0.0
330,PHI,2013,3.0
331,PHI,2013,5.0
332,PHI,2013,5.0
333,PHI,2013,6.0
334,PHI,2013,2.0
335,PHI,2013,-5.0
336,PHI,2013,0.0
337,PHI,2013,0.0
338,PHI,2013,8.0
339,PHI,2013,1.0
340,PHI,2013,14.0
341,PHI,2013,7.0
342,PHI,2013,0.0
343,PHI,2013,2.0
344,PHI,2013,3.0
345,PHI,2013,-2.0
346,PHI,2013,0.0
347,PHI,2013,0.0
348,PHI,2013,-6.0
349,PHI,2013,4.0
350,PHI,2013,44.0
351,PHI,2013,19.0
352,PHI,2013,25.0
353,PHI,2013,0.0
354,PHI,2013,0.0
355,PHI,2013,6.0
356,PHI,2013,57.0
357,PHI,2013,26.0
358,PHI,2013,20.0
359,PHI,2013,17.0
360,PHI,2013,3.0
361,PHI,2013,9.0
362,PHI,2013,38.0
363,PHI,2013,-1.0
364,PHI,2013,16.0
365,PHI,2013,-10.0
366,PHI,2013,24.0
367,PHI,2013,6.0
368,PHI,2013,2.0
369,PHI,2013,20.0
370,PHI,2013,0.0
371,PHI,2013,4.0
372,PHI,2013,0.0
373,PHI,2013,21.0
374,PHI,2013,6.0
375,PHI,2013,
376,PHI,2013,6.0
377,PHI,2013,13.0
378,PHI,2013,0.0
379,PHI,2013,0.0
380,PHI,2013,0.0
381,PHI,2013,0.0
382,PHI,2013,15.0
383,PHI,2013,12.0
384,PHI,2013,30.0
385,PHI,2013,17.0
386,PHI,2013,25.0
387,PHI,2013,0.0
388,PHI,2013,2.0
389,PHI,2013,14.0
390,PHI,2013,11.0
391,PHI,2013,0.0
392,PHI,2013,19.0
393,PHI,2013,1.0
394,PHI,2013,27.0
395,PHI,2013,8.0
396,PHI,2013,2.0
397,PHI,2013,8.0
398,PHI,2013,16.0
399,PHI,2013,0.0
400,PHI,2013,4.0
401,PHI,2013,6.0
402,PHI,2013,-1.0
403,PHI,2013,5.0
404,PHI,2013,15.0
405,PHI,2013,11.0
406,PHI,2013,17.0
407,PHI,2013,-8.0
408,PHI,2013,0.0
409,PHI,2013,5.0
410,PHI,2013,6.0
411,PHI,2013,1.0
412,PHI,2013,17.0
413,PHI,2013,32.0
414,PHI,2013,5.0
415,PHI,2013,0.0
416,PHI,2013,9.0
417,PHI,2013,4.0
418,PHI,2013,15.0
419,PHI,2013,10.0
420,PHI,2013,65.0
421,PHI,2013,0.0
422,PHI,2013,0.0
423,PHI,2013,17.0
424,PHI,2013,-1.0
425,PHI,2013,20.0
426,PHI,2013,-10.0
427,PHI,2013,1.0
428,PHI,2013,6.0
429,PHI,2013,-1.0
430,PHI,2013,0.0
431,PHI,2013,-7.0
432,PHI,2013,35.0
433,PHI,2013,14.0
434,PHI,2013,0.0
435,PHI,2013,-9.0
436,PHI,2013,14.0
437,PHI,2013,-1.0
438,PHI,2013,0.0
439,PHI,2013,1.0
440,PHI,2013,10.0
441,PHI,2013,22.0
442,PHI,2013,0.0
443,PHI,2013,8.0
444,PHI,2013,6.0
445,PHI,2013,3.0
446,PHI,2013,2.0
