,Field Position,Result
13,78.0,Punt
14,75.0,Punt
15,94.0,Punt
16,69.0,Downs
17,56.0,Interception
18,69.0,Punt
19,73.0,Field Goal
20,80.0,Punt
21,54.0,Touchdown
22,80.0,Touchdown
23,57.0,Field Goal
0,78.0,Punt
1,74.0,Field Goal
2,69.0,Punt
3,79.0,Touchdown
4,79.0,Punt
5,82.0,Punt
6,70.0,Field Goal
7,80.0,Punt
8,96.0,Punt
9,43.0,Field Goal
10,70.0,Touchdown
11,83.0,End of Half
12,80.0,Touchdown
13,80.0,Punt
14,74.0,Punt
15,69.0,Punt
16,99.0,Punt
17,53.0,Interception
18,88.0,Field Goal
19,88.0,Punt
20,74.0,Punt
21,70.0,Downs
22,82.0,Punt
0,71.0,Punt
1,92.0,Touchdown
2,70.0,Punt
3,90.0,Interception
4,91.0,Punt
5,78.0,Punt
6,97.0,Touchdown
7,66.0,End of Half
8,80.0,Punt
9,65.0,Punt
10,79.0,Punt
11,77.0,Punt
12,69.0,Touchdown
13,87.0,Punt
14,63.0,Missed FG
15,72.0,Touchdown
16,71.0,Missed FG
17,67.0,Field Goal
18,,
0,,
1,22.0,Field Goal
2,80.0,Punt
3,88.0,Fumble
4,9.0,Touchdown
5,80.0,Field Goal
6,81.0,Field Goal
7,82.0,Punt
8,80.0,Punt
9,70.0,Punt
10,94.0,Missed FG
11,71.0,End of Half
12,77.0,Fumble
13,38.0,Field Goal
14,80.0,Punt
15,88.0,Missed FG
16,73.0,Punt
17,82.0,Touchdown
18,80.0,Punt
19,67.0,Touchdown
20,80.0,Punt
21,69.0,Downs
22,68.0,Interception
0,80.0,Punt
1,52.0,Punt
2,99.0,Touchdown
3,68.0,Touchdown
4,67.0,Field Goal
5,78.0,Touchdown
6,66.0,Punt
7,86.0,Punt
8,62.0,Field Goal
9,75.0,Touchdown
