,Down,ToGo,Success,Attempt,Team,DriveResult,DriveStart,DownGo,FieldPosition,GameKey,Opponent,DriveNum
1,1.0,10.0,1.0,1.0,GB,Punt,-37.0,"1,10",87.0,56170.0,SEA,1.0
2,2.0,4.0,1.0,1.0,GB,Punt,-37.0,"2,4",81.0,56170.0,SEA,1.0
3,1.0,10.0,1.0,1.0,GB,Punt,-37.0,"1,10",76.0,56170.0,SEA,1.0
4,1.0,10.0,0.0,1.0,GB,Punt,-37.0,"1,10",61.0,56170.0,SEA,1.0
5,2.0,8.0,0.0,1.0,GB,Punt,-37.0,"2,8",59.0,56170.0,SEA,1.0
6,3.0,10.0,0.0,1.0,GB,Punt,-37.0,"3,10",61.0,56170.0,SEA,1.0
7,4.0,10.0,0.0,1.0,GB,Punt,-37.0,"4,10",61.0,56170.0,SEA,1.0
0,1.0,10.0,1.0,1.0,SEA,Field Goal,-15.0,"1,10",65.0,56170.0,GB,2.0
1,2.0,6.0,1.0,1.0,SEA,Field Goal,-15.0,"2,6",61.0,56170.0,GB,2.0
2,3.0,1.0,1.0,1.0,SEA,Field Goal,-15.0,"3,1",56.0,56170.0,GB,2.0
3,1.0,10.0,1.0,1.0,SEA,Field Goal,-15.0,"1,10",52.0,56170.0,GB,2.0
4,2.0,2.0,1.0,1.0,SEA,Field Goal,-15.0,"2,2",44.0,56170.0,GB,2.0
5,3.0,2.0,1.0,1.0,SEA,Field Goal,-15.0,"3,2",44.0,56170.0,GB,2.0
6,4.0,2.0,1.0,1.0,SEA,Field Goal,-15.0,"4,2",44.0,56170.0,GB,2.0
7,1.0,10.0,1.0,1.0,SEA,Field Goal,-15.0,"1,10",39.0,56170.0,GB,2.0
8,1.0,10.0,0.0,1.0,SEA,Field Goal,-15.0,"1,10",26.0,56170.0,GB,2.0
9,2.0,10.0,0.0,1.0,SEA,Field Goal,-15.0,"2,10",26.0,56170.0,GB,2.0
10,3.0,5.0,0.0,1.0,SEA,Field Goal,-15.0,"3,5",21.0,56170.0,GB,2.0
12,4.0,1.0,0.0,1.0,SEA,Field Goal,-15.0,"4,1",17.0,56170.0,GB,2.0
1,1.0,10.0,1.0,1.0,GB,Punt,-30.0,"1,10",80.0,56170.0,SEA,3.0
2,1.0,10.0,0.0,1.0,GB,Punt,-30.0,"1,10",69.0,56170.0,SEA,3.0
3,2.0,15.0,0.0,1.0,GB,Punt,-30.0,"2,15",74.0,56170.0,SEA,3.0
4,3.0,15.0,0.0,1.0,GB,Punt,-30.0,"3,15",74.0,56170.0,SEA,3.0
5,4.0,15.0,0.0,1.0,GB,Punt,-30.0,"4,15",74.0,56170.0,SEA,3.0
0,1.0,10.0,1.0,1.0,GB,Touchdown,16.0,"1,10",34.0,56170.0,SEA,4.0
1,2.0,10.0,1.0,1.0,GB,Touchdown,16.0,"2,10",34.0,56170.0,SEA,4.0
2,3.0,8.0,1.0,1.0,GB,Touchdown,16.0,"3,8",32.0,56170.0,SEA,4.0
3,1.0,10.0,1.0,1.0,GB,Touchdown,16.0,"1,10",24.0,56170.0,SEA,4.0
4,1.0,8.0,1.0,1.0,GB,Touchdown,16.0,"1,8",8.0,56170.0,SEA,4.0
6,2.0,2.0,1.0,1.0,GB,Touchdown,16.0,"2,2",2.0,56170.0,SEA,4.0
1,1.0,10.0,1.0,1.0,SEA,Touchdown,-30.0,"1,10",80.0,56170.0,GB,5.0
2,1.0,20.0,1.0,1.0,SEA,Touchdown,-30.0,"1,20",90.0,56170.0,GB,5.0
3,2.0,10.0,1.0,1.0,SEA,Touchdown,-30.0,"2,10",80.0,56170.0,GB,5.0
5,3.0,1.0,1.0,1.0,SEA,Touchdown,-30.0,"3,1",71.0,56170.0,GB,5.0
6,1.0,10.0,1.0,1.0,SEA,Touchdown,-30.0,"1,10",64.0,56170.0,GB,5.0
7,2.0,12.0,1.0,1.0,SEA,Touchdown,-30.0,"2,12",66.0,56170.0,GB,5.0
8,1.0,10.0,1.0,1.0,SEA,Touchdown,-30.0,"1,10",33.0,56170.0,GB,5.0
1,1.0,10.0,1.0,1.0,GB,Field Goal,-34.0,"1,10",84.0,56170.0,SEA,6.0
2,2.0,9.0,1.0,1.0,GB,Field Goal,-34.0,"2,9",83.0,56170.0,SEA,6.0
3,3.0,5.0,1.0,1.0,GB,Field Goal,-34.0,"3,5",79.0,56170.0,SEA,6.0
4,1.0,10.0,1.0,1.0,GB,Field Goal,-34.0,"1,10",68.0,56170.0,SEA,6.0
5,2.0,7.0,1.0,1.0,GB,Field Goal,-34.0,"2,7",65.0,56170.0,SEA,6.0
6,3.0,4.0,1.0,1.0,GB,Field Goal,-34.0,"3,4",62.0,56170.0,SEA,6.0
7,1.0,10.0,1.0,1.0,GB,Field Goal,-34.0,"1,10",56.0,56170.0,SEA,6.0
8,2.0,8.0,1.0,1.0,GB,Field Goal,-34.0,"2,8",54.0,56170.0,SEA,6.0
9,3.0,5.0,1.0,1.0,GB,Field Goal,-34.0,"3,5",51.0,56170.0,SEA,6.0
10,1.0,7.0,0.0,1.0,GB,Field Goal,-34.0,"1,7",7.0,56170.0,SEA,6.0
11,2.0,7.0,0.0,1.0,GB,Field Goal,-34.0,"2,7",7.0,56170.0,SEA,6.0
12,3.0,5.0,0.0,1.0,GB,Field Goal,-34.0,"3,5",5.0,56170.0,SEA,6.0
13,4.0,5.0,0.0,1.0,GB,Field Goal,-34.0,"4,5",5.0,56170.0,SEA,6.0
1,1.0,10.0,1.0,1.0,SEA,Touchdown,-20.0,"1,10",70.0,56170.0,GB,7.0
2,1.0,10.0,1.0,1.0,SEA,Touchdown,-20.0,"1,10",46.0,56170.0,GB,7.0
3,2.0,10.0,1.0,1.0,SEA,Touchdown,-20.0,"2,10",46.0,56170.0,GB,7.0
4,2.0,5.0,1.0,1.0,SEA,Touchdown,-20.0,"2,5",41.0,56170.0,GB,7.0
5,1.0,10.0,1.0,1.0,SEA,Touchdown,-20.0,"1,10",20.0,56170.0,GB,7.0
6,2.0,1.0,1.0,1.0,SEA,Touchdown,-20.0,"2,1",11.0,56170.0,GB,7.0
7,1.0,9.0,1.0,1.0,SEA,Touchdown,-20.0,"1,9",9.0,56170.0,GB,7.0
1,1.0,10.0,1.0,1.0,GB,Punt,-30.0,"1,10",80.0,56170.0,SEA,8.0
2,1.0,10.0,1.0,1.0,GB,Punt,-30.0,"1,10",62.0,56170.0,SEA,8.0
4,2.0,10.0,1.0,1.0,GB,Punt,-30.0,"2,10",62.0,56170.0,SEA,8.0
6,1.0,10.0,0.0,1.0,GB,Punt,-30.0,"1,10",51.0,56170.0,SEA,8.0
7,2.0,4.0,0.0,1.0,GB,Punt,-30.0,"2,4",45.0,56170.0,SEA,8.0
8,3.0,4.0,0.0,1.0,GB,Punt,-30.0,"3,4",45.0,56170.0,SEA,8.0
9,4.0,4.0,0.0,1.0,GB,Punt,-30.0,"4,4",45.0,56170.0,SEA,8.0
0,1.0,10.0,1.0,1.0,SEA,End of Half,-32.0,"1,10",82.0,56170.0,GB,9.0
1,2.0,6.0,1.0,1.0,SEA,End of Half,-32.0,"2,6",78.0,56170.0,GB,9.0
2,1.0,10.0,1.0,1.0,SEA,End of Half,-32.0,"1,10",73.0,56170.0,GB,9.0
4,2.0,3.0,1.0,1.0,SEA,End of Half,-32.0,"2,3",66.0,56170.0,GB,9.0
5,3.0,3.0,1.0,1.0,SEA,End of Half,-32.0,"3,3",66.0,56170.0,GB,9.0
7,1.0,10.0,0.0,1.0,SEA,End of Half,-32.0,"1,10",59.0,56170.0,GB,9.0
8,2.0,10.0,0.0,1.0,SEA,End of Half,-32.0,"2,10",59.0,56170.0,GB,9.0
1,1.0,10.0,1.0,1.0,SEA,Punt,-36.0,"1,10",86.0,56170.0,GB,10.0
2,1.0,10.0,1.0,1.0,SEA,Punt,-36.0,"1,10",72.0,56170.0,GB,10.0
3,2.0,1.0,1.0,1.0,SEA,Punt,-36.0,"2,1",63.0,56170.0,GB,10.0
4,1.0,10.0,0.0,1.0,SEA,Punt,-36.0,"1,10",59.0,56170.0,GB,10.0
5,2.0,10.0,0.0,1.0,SEA,Punt,-36.0,"2,10",59.0,56170.0,GB,10.0
6,3.0,10.0,0.0,1.0,SEA,Punt,-36.0,"3,10",59.0,56170.0,GB,10.0
7,4.0,4.0,0.0,1.0,SEA,Punt,-36.0,"4,4",53.0,56170.0,GB,10.0
0,1.0,10.0,0.0,1.0,GB,Interception,-36.0,"1,10",86.0,56170.0,SEA,11.0
0,1.0,8.0,0.0,1.0,SEA,Field Goal,42.0,"1,8",8.0,56170.0,GB,12.0
